Cycle,Start,End
1,02/08/14,03/08/14
2,04/08/14,17/08/14
3,18/08/14,31/08/14
4,01/09/14,14/09/14
5,15/09/14,28/09/14
6,29/09/14,12/10/14
7,13/10/14,26/10/14
8,27/10/14,09/11/14
9,10/11/14,23/11/14
10,24/11/14,07/12/14
11,08/12/14,21/12/14
12,22/12/14,04/01/15
13,05/01/15,18/01/15
14,19/01/15,01/02/15
15,02/02/15,15/02/15
16,16/02/15,01/03/15
17,02/03/15,15/03/15
18,16/03/15,29/03/15
19,30/03/15,12/04/15
20,13/04/15,26/04/15
21,27/04/15,10/05/15
22,11/05/15,24/05/15
23,25/05/15,07/06/15
24,08/06/15,21/06/15
25,22/06/15,05/07/15
26,06/07/15,19/07/15
27,20/07/15,02/08/15
28,03/08/15,16/08/15
29,17/08/15,30/08/15
30,31/08/15,13/09/15
31,14/09/15,27/09/15
32,28/09/15,11/10/15
33,12/10/15,25/10/15
34,26/10/15,08/11/15
35,09/11/15,22/11/15
36,23/11/15,06/12/15
37,07/12/15,20/12/15
38,21/12/15,03/01/16
39,04/01/16,17/01/16
40,18/01/16,31/01/16
41,01/02/16,14/02/16
42,15/02/16,28/02/16
43,29/02/16,13/03/16
44,14/03/16,27/03/16
45,28/03/16,10/04/16
46,11/04/16,24/04/16
47,25/04/16,08/05/16
48,09/05/16,22/05/16
49,23/05/16,05/06/16
50,06/06/16,19/06/16
51,20/06/16,03/07/16
52,04/07/16,17/07/16
53,18/07/16,31/07/16
54,01/08/16,14/08/16
55,15/08/16,28/08/16
56,29/08/16,11/09/16
57,12/09/16,25/09/16
58,26/09/16,09/10/16
59,10/10/16,23/10/16
60,24/10/16,06/11/16
61,07/11/16,20/11/16
62,21/11/16,04/12/16
63,05/12/16,18/12/16
64,19/12/16,01/01/17
65,02/01/17,15/01/17
66,16/01/17,29/01/17
67,30/01/17,12/02/17
68,13/02/17,26/02/17
69,27/02/17,12/03/17
70,13/03/17,26/03/17
71,27/03/17,09/04/17
72,10/04/17,23/04/17
73,24/04/17,07/05/17
74,08/05/17,21/05/17
75,22/05/17,04/06/17
76,05/06/17,18/06/17
77,19/06/17,02/07/17
78,03/07/17,16/07/17
79,17/07/17,30/07/17
80,31/07/17,13/08/17
81,14/08/17,27/08/17
82,28/08/17,10/09/17
83,11/09/17,24/09/17
84,25/09/17,08/10/17
85,09/10/17,22/10/17
86,23/10/17,05/11/17
87,06/11/17,19/11/17
88,20/11/17,03/12/17
89,04/12/17,17/12/17
90,18/12/17,31/12/17
91,01/01/18,14/01/18
92,15/01/18,28/01/18
93,29/01/18,11/02/18
94,12/02/18,25/02/18
95,26/02/18,11/03/18
96,12/03/18,25/03/18
97,26/03/18,08/04/18
98,09/04/18,22/04/18
99,23/04/18,06/05/18
100,07/05/18,20/05/18
101,21/05/18,03/06/18
102,04/06/18,17/06/18
103,18/06/18,01/07/18
104,02/07/18,15/07/18
105,16/07/18,29/07/18
106,30/07/18,12/08/18
107,13/08/18,26/08/18
108,27/08/18,09/09/18
109,10/09/18,23/09/18
110,24/09/18,07/10/18
111,08/10/18,21/10/18
112,22/10/18,04/11/18
113,05/11/18,18/11/18
114,19/11/18,02/12/18
115,03/12/18,16/12/18
116,17/12/18,30/12/18
117,31/12/18,13/01/19
118,14/01/19,27/01/19
119,28/01/19,10/02/19
120,11/02/19,24/02/19
121,25/02/19,10/03/19
122,11/03/19,24/03/19
123,25/03/19,07/04/19
124,08/04/19,21/04/19
125,22/04/19,05/05/19
126,06/05/19,19/05/19
127,20/05/19,02/06/19
128,03/06/19,16/06/19
129,17/06/19,30/06/19
130,01/07/19,14/07/19
131,15/07/19,28/07/19
132,29/07/19,11/08/19
133,12/08/19,25/08/19
134,26/08/19,08/09/19
135,09/09/19,22/09/19
136,23/09/19,06/10/19
137,07/10/19,20/10/19
138,21/10/19,03/11/19
139,04/11/19,17/11/19
140,18/11/19,01/12/19
141,02/12/19,15/12/19
142,16/12/19,29/12/19
143,30/12/19,12/01/20
144,13/01/20,26/01/20
145,27/01/20,09/02/20
146,10/02/20,23/02/20
147,24/02/20,08/03/20
148,09/03/20,22/03/20
149,23/03/20,05/04/20
150,06/04/20,19/04/20
151,20/04/20,03/05/20
152,04/05/20,17/05/20
153,18/05/20,31/05/20
154,01/06/20,14/06/20
155,15/06/20,28/06/20
156,29/06/20,12/07/20
157,13/07/20,26/07/20
158,27/07/20,09/08/20
159,10/08/20,23/08/20
160,24/08/20,06/09/20
161,07/09/20,20/09/20
162,21/09/20,04/10/20
163,05/10/20,18/10/20
164,19/10/20,01/11/20
165,02/11/20,15/11/20
166,16/11/20,29/11/20
167,30/11/20,13/12/20
168,14/12/20,27/12/20
169,28/12/20,10/01/21
170,11/01/21,24/01/21
171,25/01/21,07/02/21
172,08/02/21,21/02/21
173,22/02/21,07/03/21
174,08/03/21,21/03/21
175,22/03/21,04/04/21
176,05/04/21,18/04/21
177,19/04/21,02/05/21
178,03/05/21,16/05/21
179,17/05/21,30/05/21
180,31/05/21,13/06/21
181,14/06/21,27/06/21
182,28/06/21,11/07/21
183,12/07/21,25/07/21
184,26/07/21,08/08/21
185,09/08/21,22/08/21
186,23/08/21,05/09/21
187,06/09/21,19/09/21
188,20/09/21,03/10/21
189,04/10/21,17/10/21
190,18/10/21,31/10/21
191,01/11/21,14/11/21
192,15/11/21,28/11/21
193,29/11/21,12/12/21
194,13/12/21,26/12/21
195,27/12/21,09/01/22
196,10/01/22,23/01/22
197,24/01/22,06/02/22
198,07/02/22,20/02/22
199,21/02/22,06/03/22
200,07/03/22,20/03/22
201,21/03/22,03/04/22
202,04/04/22,17/04/22
203,18/04/22,01/05/22
204,02/05/22,15/05/22
205,16/05/22,29/05/22
206,30/05/22,12/06/22
207,13/06/22,26/06/22
208,27/06/22,10/07/22
209,11/07/22,24/07/22
210,25/07/22,07/08/22
211,08/08/22,21/08/22
212,22/08/22,04/09/22
213,05/09/22,18/09/22
214,19/09/22,02/10/22
215,03/10/22,16/10/22
216,17/10/22,30/10/22
217,31/10/22,13/11/22
218,14/11/22,27/11/22
219,28/11/22,11/12/22
220,12/12/22,25/12/22
221,26/12/22,08/01/23
222,09/01/23,22/01/23
223,23/01/23,05/02/23
224,06/02/23,19/02/23
225,20/02/23,05/03/23
226,06/03/23,19/03/23
227,20/03/23,02/04/23
228,03/04/23,16/04/23
229,17/04/23,30/04/23
230,01/05/23,14/05/23
231,15/05/23,28/05/23
232,29/05/23,11/06/23
233,12/06/23,25/06/23
234,26/06/23,09/07/23
235,10/07/23,23/07/23
236,24/07/23,06/08/23
237,07/08/23,20/08/23
238,21/08/23,03/09/23
239,04/09/23,17/09/23
240,18/09/23,01/10/23
241,02/10/23,15/10/23
242,16/10/23,29/10/23
243,30/10/23,12/11/23
244,13/11/23,26/11/23
245,27/11/23,10/12/23
246,11/12/23,24/12/23
